AI,AV,RESISTANCE,,AI,AV,,,,
349.7043E-6,1.0000E+0,2.8596E+3,17.4852E-3,301.7741E-6,1.0000E+0,15.0887E-3,,,
298.8554E-6,950.0000E-3,3.1788E+3,14.9428E-3,266.1019E-6,950.0000E-3,13.3051E-3,,,
257.3379E-6,900.0000E-3,3.4973E+3,12.8669E-3,238.1904E-6,900.0000E-3,11.9095E-3,,,
217.4421E-6,850.0000E-3,3.9091E+3,10.8721E-3,207.8650E-6,850.0000E-3,10.3932E-3,,,
183.7758E-6,800.0000E-3,4.3531E+3,9.1888E-3,178.3855E-6,800.0000E-3,8.9193E-3,,,
152.4185E-6,750.0000E-3,4.9207E+3,7.6209E-3,154.4543E-6,750.0000E-3,7.7227E-3,,,
123.4967E-6,700.0000E-3,5.6682E+3,6.1748E-3,134.3538E-6,700.0000E-3,6.7177E-3,,,
97.3050E-6,650.0000E-3,6.6800E+3,4.8652E-3,115.6074E-6,650.0000E-3,5.7804E-3,,,
77.5586E-6,600.0000E-3,7.7361E+3,3.8779E-3,100.5687E-6,600.0000E-3,5.0284E-3,,,
59.4408E-6,550.0000E-3,9.2529E+3,2.9720E-3,86.1137E-6,550.0000E-3,4.3057E-3,,,
43.6895E-6,500.0000E-3,11.4444E+3,2.1845E-3,73.5647E-6,500.0000E-3,3.6782E-3,,,
34.1069E-6,450.0000E-3,13.1938E+3,1.7053E-3,63.0969E-6,450.0000E-3,3.1548E-3,,,
21.5896E-6,400.0000E-3,18.5275E+3,1.0795E-3,51.8522E-6,400.0000E-3,2.5926E-3,,,
10.4674E-6,350.0000E-3,33.4370E+3,523.3715E-6,44.0435E-6,350.0000E-3,2.2022E-3,,,
3.3623E-6,300.0000E-3,89.2254E+3,168.1135E-6,35.0275E-6,300.0000E-3,1.7514E-3,,,
-4.8281E-6,250.0000E-3,-51.7797E+3,-241.4074E-6,29.0029E-6,250.0000E-3,1.4501E-3,,,
-10.4147E-6,200.0000E-3,-19.2036E+3,-520.7350E-6,22.2807E-6,200.0000E-3,1.1140E-3,,,
-17.6401E-6,150.0000E-3,-8.5034E+3,-882.0035E-6,15.9762E-6,150.0000E-3,798.8106E-6,,,
-23.5204E-6,100.0000E-3,-4.2516E+3,-1.1760E-3,10.7697E-6,100.0000E-3,538.4861E-6,,,
-28.8124E-6,50.0000E-3,-1.7354E+3,-1.4406E-3,5.2989E-6,50.0000E-3,264.9460E-6,,,
-33.9838E-6,000.0000E+0,000.0000E+0,-1.6992E-3,-92.1406E-9,000.0000E+0,-4.6070E-6,,,
-39.1810E-6,-50.0000E-3,1.2761E+3,-1.9591E-3,-5.7416E-6,-50.0000E-3,-287.0794E-6,,,
-45.0953E-6,-100.0000E-3,2.2175E+3,-2.2548E-3,-12.1028E-6,-100.0000E-3,-605.1375E-6,,,
-51.4715E-6,-150.0000E-3,2.9142E+3,-2.5736E-3,-19.5283E-6,-150.0000E-3,-976.4138E-6,,,
-60.2891E-6,-200.0000E-3,3.3173E+3,-3.0145E-3,-28.1655E-6,-200.0000E-3,-1.4083E-3,,,
-69.9378E-6,-250.0000E-3,3.5746E+3,-3.4969E-3,-39.1620E-6,-250.0000E-3,-1.9581E-3,,,
-81.5409E-6,-300.0000E-3,3.6791E+3,-4.0770E-3,-51.6480E-6,-300.0000E-3,-2.5824E-3,,,
-94.5052E-6,-350.0000E-3,3.7035E+3,-4.7253E-3,-65.5486E-6,-350.0000E-3,-3.2774E-3,,,
-108.4741E-6,-400.0000E-3,3.6875E+3,-5.4237E-3,-83.2569E-6,-400.0000E-3,-4.1628E-3,,,
-124.6626E-6,-450.0000E-3,3.6097E+3,-6.2331E-3,-105.8445E-6,-450.0000E-3,-5.2922E-3,,,
-145.3420E-6,-500.0000E-3,3.4402E+3,-7.2671E-3,-133.6242E-6,-500.0000E-3,-6.6812E-3,,,
-172.9673E-6,-550.0000E-3,3.1798E+3,-8.6484E-3,-177.8829E-6,-550.0000E-3,-8.8941E-3,,,
-207.7669E-6,-600.0000E-3,2.8879E+3,-10.3883E-3,-243.5264E-6,-600.0000E-3,-12.1763E-3,,,
-252.9149E-6,-650.0000E-3,2.5700E+3,-12.6457E-3,-333.6171E-6,-650.0000E-3,-16.6809E-3,,,
-310.4747E-6,-700.0000E-3,2.2546E+3,-15.5237E-3,-461.0415E-6,-700.0000E-3,-23.0521E-3,,,
-390.6200E-6,-750.0000E-3,1.9200E+3,-19.5310E-3,-617.4029E-6,-750.0000E-3,-30.8701E-3,,,
-496.6129E-6,-800.0000E-3,1.6109E+3,-24.8306E-3,-802.0534E-6,-800.0000E-3,-40.1027E-3,,,
-664.6368E-6,-850.0000E-3,1.2789E+3,-33.2318E-3,-1.0311E-3,-850.0000E-3,-51.5536E-3,,,
-836.8049E-6,-900.0000E-3,1.0755E+3,-41.8402E-3,-1.2959E-3,-900.0000E-3,-64.7941E-3,,,
-1.0475E-3,-950.0000E-3,906.9104E+0,-52.3756E-3,-1.5839E-3,-950.0000E-3,-79.1937E-3,,,
-1.2968E-3,-1.0000E+0,771.1193E+0,-64.8408E-3,-1.8875E-3,-1.0000E+0,-94.3753E-3,,,
-1.2980E-3,-1.0000E+0,770.3999E+0,-64.9014E-3,-1.8637E-3,-1.0000E+0,-93.1827E-3,,,
-1.0491E-3,-950.0000E-3,905.5669E+0,-52.4533E-3,-1.5151E-3,-950.0000E-3,-75.7553E-3,,,
-836.5062E-6,-900.0000E-3,1.0759E+3,-41.8253E-3,-1.1914E-3,-900.0000E-3,-59.5713E-3,,,
-659.9354E-6,-850.0000E-3,1.2880E+3,-32.9968E-3,-911.7720E-6,-850.0000E-3,-45.5886E-3,,,
-515.4194E-6,-800.0000E-3,1.5521E+3,-25.7710E-3,-678.6152E-6,-800.0000E-3,-33.9308E-3,,,
-404.6231E-6,-750.0000E-3,1.8536E+3,-20.2312E-3,-498.8406E-6,-750.0000E-3,-24.9420E-3,,,
-313.4210E-6,-700.0000E-3,2.2334E+3,-15.6711E-3,-334.6334E-6,-700.0000E-3,-16.7317E-3,,,
-255.4645E-6,-650.0000E-3,2.5444E+3,-12.7732E-3,-256.8356E-6,-650.0000E-3,-12.8418E-3,,,
-209.0700E-6,-600.0000E-3,2.8699E+3,-10.4535E-3,-199.9072E-6,-600.0000E-3,-9.9954E-3,,,
